cod_ibge,cod_ibge6,municipio,uf,uf_nome,pop_feminina_50a69,demanda_anual,mamografos_existentes,mamografos_em_uso,rast_2020,rast_2021,rast_2022,rast_2023,rast_2024,rast_2025,diag_2020,diag_2021,diag_2022,diag_2023,diag_2024,diag_2025,rast_bienio,diag_bienio,total_bienio,total_anual,cobertura_bienal_rast,cobertura_bienal_total,capacidade_anual,taxa_ociosidade,deficit_anual,classificacao,ociosidade_critica
1100015,110001,Alta Floresta D'Oeste - RO,RO,Rondônia,2158,1079.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,1079.0,Deserto absoluto,False
1100023,110002,Ariquemes - RO,RO,Rondônia,8753,4376.5,7,7,789,540,1391,1060,1272,1152,9,5,30,27,18,29,2424,47,2471,1235.5,0.2769,0.2823,35483,0.9652,3141.0,Deserto funcional,True
1100031,110003,Cabixi - RO,RO,Rondônia,652,326.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,326.0,Deserto absoluto,False
1100049,110004,Cacoal - RO,RO,Rondônia,8806,4403.0,6,5,0,188,607,160,877,921,0,1,33,27,77,122,1798,199,1997,998.5,0.2042,0.2268,25345,0.9606,3404.5,Deserto funcional,True
1100056,110005,Cerejeiras - RO,RO,Rondônia,1638,819.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5069,1.0,819.0,Deserto funcional,True
1100064,110006,Colorado do Oeste - RO,RO,Rondônia,1794,897.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,897.0,Deserto absoluto,False
1100072,110007,Corumbiara - RO,RO,Rondônia,777,388.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,388.5,Deserto absoluto,False
1100080,110008,Costa Marques - RO,RO,Rondônia,980,490.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,490.0,Deserto absoluto,False
1100098,110009,Espigão D'Oeste - RO,RO,Rondônia,2752,1376.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,1376.0,Deserto absoluto,False
1100106,110010,Guajará-Mirim - RO,RO,Rondônia,3279,1639.5,1,1,74,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5069,1.0,1639.5,Deserto funcional,True
1100114,110011,Jaru - RO,RO,Rondônia,4737,2368.5,2,2,265,0,27,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,10138,1.0,2368.5,Deserto funcional,True
1100122,110012,Ji-Paraná - RO,RO,Rondônia,12173,6086.5,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,65897,1.0,6086.5,Deserto funcional,True
1100130,110013,Machadinho D'Oeste - RO,RO,Rondônia,2669,1334.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,1334.5,Deserto absoluto,False
